,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,JxSi,Cs,PSC,CUP,ECP,PP,Altres,Blancs,Nuls,JxSi_pct,JxSi_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,CUP_pct,CUP_pct_Electors,PP_pct,PP_pct_Electors,ECP_pct,ECP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Participacio_pct,Effective_Educ_univ_pct
25,43724.0,33279.0,5458.0,4986.0,5,26, Sant Gervasi - Galvany,76.11,12.48,11.4,14.089888220564317,5.0,46648.0,192.1,4.0,39523.0,828.0,2837.0,4439.0,11418.0,19991.0,10.0,50.580000000000005,7.180000000000001,1274.0,573.0,222.0,479.0,3.2199999999999998,1.21,34237,28669,11810,6749,1491,1435,894,3780,2323,139,48,41.19,34.49,23.54,19.71,5.2,4.35,5.01,4.19,13.18,11.04,3.12,2.61,13245,46.199999999999996,38.68,14139,49.31999999999999,41.29,12020,41.92,35.1,83.73689283523673,58.39
26,30327.0,22363.0,3659.0,4305.0,5,27, el Putxet i el Farró,73.74,12.07,14.2,14.061179002382598,5.0,29041.0,140.2,3.0,24752.0,577.0,1902.0,3260.0,7101.0,11906.0,6.0,48.1,7.68,1179.0,542.0,202.0,435.0,4.760000000000001,1.76,21092,17385,8340,2822,1065,1528,1021,1373,1086,95,55,47.97,39.54,16.23,13.38,6.13,5.05,8.79,7.24,7.9,6.51,5.87,4.84,9868,56.76,46.78,10889,62.629999999999995,51.620000000000005,5260,30.26,24.94,82.42461596813958,56.45
27,16605.0,11111.0,2676.0,2818.0,6,28, Vallcarca i els Penitents,66.91,16.12,16.97,19.409588743018784,3.0,15454.0,101.6,3.0,13271.0,451.0,1761.0,2347.0,3588.0,5123.0,1.0,38.6,13.270000000000001,753.0,347.0,120.0,286.0,5.67,2.16,11383,9190,4109,1431,768,1003,693,699,411,50,26,44.71,36.1,15.57,12.57,8.36,6.75,10.91,8.81,7.61,6.14,7.54,6.09,5112,55.620000000000005,44.910000000000004,5805,63.160000000000004,51.0,2898,31.54,25.46,80.73442853377844,45.01
28,7697.0,4718.0,1465.0,1514.0,6,29, el Coll,61.3,19.03,19.67,23.693999676532428,2.0,7307.0,81.6,2.0,6274.0,259.0,1153.0,1358.0,1684.0,1816.0,4.0,28.939999999999998,18.38,316.0,145.0,53.0,118.0,5.04,1.8800000000000001,5332,4057,1553,637,462,510,396,311,151,18,19,38.28,29.13,15.7,11.95,11.39,8.66,12.57,9.56,7.67,5.83,9.76,7.43,2063,50.85,38.69,2459,60.61,46.12,1410,34.76,26.44,76.08777194298575,34.06
29,11909.0,8852.0,1903.0,1155.0,6,30, la Salut,74.33,15.98,9.7,17.694095769409575,3.0,13256.0,107.3,3.0,11523.0,363.0,1559.0,1940.0,3149.0,4506.0,6.0,39.1,13.530000000000001,619.0,289.0,86.0,244.0,5.37,2.12,9833,7845,3712,1060,605,968,585,540,311,49,15,47.32,37.75,13.51,10.78,7.71,6.15,12.34,9.84,6.88,5.49,7.46,5.95,4680,59.66,47.59,5265,67.11999999999999,53.540000000000006,2205,28.1,22.42,79.78236550391539,45.83
30,49557.0,33274.0,7276.0,9008.0,6,31, la Vila de Gràcia,67.14,14.68,18.18,17.94327990135635,5.0,50680.0,118.1,3.0,44473.0,1402.0,6356.0,6879.0,10704.0,19126.0,6.0,43.01,14.29,2463.0,1207.0,363.0,893.0,5.54,2.01,35364,27655,12559,2726,2140,4984,2654,1463,892,164,73,45.41,35.51,9.86,7.71,7.74,6.05,18.02,14.09,5.29,4.14,9.6,7.5,17543,63.42999999999999,49.599999999999994,20197,73.02999999999999,57.099999999999994,6329,22.89,17.9,78.20099536251556,54.08
31,34625.0,24452.0,5591.0,4582.0,6,32, el Camp d'en Grassot i Gràcia Nova,70.62,16.15,13.23,18.609992344306495,5.0,34146.0,103.7,3.0,29899.0,918.0,4110.0,5246.0,8131.0,11486.0,8.0,38.42,13.750000000000002,1615.0,742.0,234.0,639.0,5.4,2.1399999999999997,25789,21230,10204,2621,1674,2752,1721,1318,800,95,45,48.06,39.57,12.35,10.16,7.89,6.49,12.96,10.67,6.21,5.11,8.11,6.67,12956,61.02,50.24,14677,69.13,56.910000000000004,5613,26.45,21.759999999999998,82.32192019853426,44.54
32,27226.0,18141.0,4710.0,4374.0,7,33, el Baix Guinardó,66.63,17.3,16.07,20.611789418406197,4.0,25587.0,86.6,2.0,22504.0,1017.0,3910.0,4753.0,6219.0,6595.0,10.0,29.310000000000002,17.37,1247.0,570.0,177.0,500.0,5.54,2.22,19291,15184,6361,2255,1537,1816,1356,1182,553,80,44,41.89,32.97,14.85,11.69,10.12,7.97,11.96,9.41,7.78,6.13,8.93,7.03,8177,53.85,42.379999999999995,9533,62.78,49.41,4974,32.75,25.79,78.71027940490384,34.19
33,9023.0,5804.0,2195.0,1024.0,7,34, Can Baró,64.32,24.33,11.35,27.440930116264532,2.0,8887.0,77.4,2.0,7813.0,439.0,1709.0,1817.0,1955.0,1892.0,1.0,24.22,21.87,443.0,208.0,60.0,175.0,5.67,2.2399999999999998,6675,5099,1838,843,681,547,570,369,198,27,26,36.05,27.54,16.53,12.63,13.36,10.2,10.73,8.19,7.24,5.53,11.18,8.54,2385,46.78,35.73,2955,57.96,44.269999999999996,1893,37.13,28.36,76.38951310861424,28.34
34,35825.0,23789.0,7418.0,4618.0,7,35, el Guinardó,66.4,20.71,12.89,23.77030794373057,5.0,35698.0,82.0,2.0,31350.0,1348.0,5826.0,6816.0,8756.0,8596.0,8.0,27.42,18.58,2031.0,858.0,291.0,882.0,6.4799999999999995,2.81,26696,20677,8267,3046,2127,2722,2047,1607,689,110,62,39.98,30.97,14.73,11.41,10.29,7.97,13.16,10.2,7.77,6.02,9.9,7.67,10989,53.14,41.17,13036,63.04,48.84,6780,32.79,25.4,77.45355109379682,32.2
