TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct
12335.0,6321.0,3459.0,2555.0,7,38, la Teixonera,51.24,28.04,20.71,35.3680981595092,3.0,11379.0,69.6,1.0,9834.0,661.0,2691.0,2794.0,2272.0,1411.0,5.0,14.35,27.36,558.0,247.0,82.0,229.0,5.67,2.33
6414.0,3400.0,1915.0,1099.0,7,39, Sant Genís dels Agudells,53.01,29.86,17.13,36.030103480714956,2.0,6865.0,80.0,2.0,5869.0,491.0,1482.0,1483.0,1385.0,1026.0,2.0,17.48,25.25,337.0,150.0,50.0,137.0,5.74,2.33
4688.0,2795.0,974.0,918.0,7,40, Montbau,59.62,20.78,19.58,25.84239851419475,1.0,5082.0,70.0,1.0,4465.0,376.0,993.0,997.0,1108.0,991.0,0.0,22.189999999999998,22.24,244.0,109.0,36.0,99.0,5.46,2.22
5186.0,3211.0,1347.0,628.0,7,41, la Vall d'Hebron,61.92,25.97,12.11,29.552435278630977,2.0,5422.0,86.9,2.0,4866.0,203.0,964.0,1033.0,1311.0,1353.0,2.0,27.810000000000002,19.81,260.0,116.0,38.0,106.0,5.34,2.18
,,,,7,42, la Clota,,,,,,529.0,90.1,2.0,483.0,29.0,96.0,124.0,109.0,125.0,0.0,25.88,19.88,18.0,8.0,3.0,7.0,3.73,1.4500000000000002
26685.0,18025.0,6072.0,2588.0,7,43, Horta,67.55,22.75,9.7,25.198157446985103,4.0,26591.0,82.2,2.0,23117.0,1388.0,5614.0,5262.0,6048.0,4801.0,4.0,20.77,24.29,1525.0,673.0,208.0,644.0,6.6000000000000005,2.79
26578.0,17326.0,6061.0,3191.0,8,44, Vilapicina i la Torre Llobeta,65.19,22.8,12.01,25.91610723906444,4.0,25500.0,64.0,1.0,22295.0,1273.0,5153.0,5574.0,5809.0,4479.0,7.0,20.09,23.11,1418.0,629.0,186.0,603.0,6.36,2.7
25250.0,14379.0,8186.0,2685.0,8,45, Porta,56.95,32.42,10.63,36.27742078440062,4.0,24424.0,58.3,1.0,21429.0,1505.0,5939.0,5601.0,5151.0,3226.0,7.0,15.049999999999999,27.71,1402.0,630.0,179.0,593.0,6.54,2.77
14951.0,7503.0,3639.0,3809.0,8,46, el Turó de la Peira,50.18,24.34,25.48,32.660204631125474,3.0,15471.0,50.6,1.0,13247.0,1099.0,3977.0,3559.0,3016.0,1594.0,2.0,12.030000000000001,30.020000000000003,876.0,388.0,115.0,373.0,6.61,2.82
2523.0,1938.0,353.0,232.0,8,47, Can Peguera,76.81,13.99,9.2,15.408118725447403,1.0,2288.0,51.0,1.0,1950.0,148.0,720.0,598.0,348.0,136.0,0.0,6.97,36.919999999999995,123.0,55.0,16.0,52.0,6.3100000000000005,2.67
17207.0,10208.0,4839.0,2161.0,8,48, la Guineueta,59.32,28.12,12.56,32.1592343988835,3.0,15090.0,56.0,1.0,13084.0,874.0,3383.0,3476.0,3228.0,2123.0,0.0,16.23,25.86,1015.0,457.0,143.0,415.0,7.76,3.17
6717.0,3940.0,1797.0,980.0,8,49, Canyelles,58.66,26.75,14.59,31.322991110336414,2.0,7014.0,61.0,1.0,6094.0,405.0,2001.0,1862.0,1188.0,635.0,3.0,10.42,32.84,495.0,223.0,70.0,202.0,8.12,3.3099999999999996
14008.0,7338.0,3759.0,2910.0,8,50, les Roquetes,52.38,26.83,20.77,33.87402000540687,3.0,15668.0,50.8,1.0,13066.0,981.0,4732.0,4121.0,2278.0,954.0,0.0,7.3,36.22,1074.0,484.0,151.0,439.0,8.219999999999999,3.36
13835.0,6264.0,4353.0,3218.0,8,51, Verdun,45.28,31.46,23.26,41.00028256569652,3.0,12239.0,50.8,1.0,10553.0,831.0,3478.0,3134.0,2088.0,1019.0,3.0,9.66,32.96,823.0,371.0,116.0,336.0,7.8,3.18
26893.0,13875.0,8707.0,4311.0,8,52, la Prosperitat,51.59,32.38,16.03,38.557257993091845,4.0,26171.0,53.7,1.0,22691.0,1979.0,7018.0,6566.0,4801.0,2317.0,10.0,10.209999999999999,30.930000000000003,1578.0,710.0,202.0,666.0,6.950000000000001,2.94
5791.0,2996.0,1307.0,1488.0,8,53, la Trinitat Nova,51.74,22.57,25.7,30.37415756448989,2.0,7462.0,34.7,1.0,6208.0,534.0,2220.0,2024.0,1001.0,429.0,0.0,6.909999999999999,35.76,683.0,316.0,91.0,276.0,11.0,4.45
1419.0,721.0,454.0,244.0,8,54, Torre Baró,50.81,31.99,17.2,38.638297872340424,1.0,2682.0,45.6,1.0,2250.0,153.0,916.0,694.0,306.0,179.0,2.0,7.960000000000001,40.71,188.0,87.0,25.0,76.0,8.36,3.38
10176.0,3806.0,2361.0,4009.0,8,55, Ciutat Meridiana,37.4,23.2,39.4,38.28441705853738,3.0,10356.0,39.2,1.0,8439.0,515.0,3493.0,2628.0,1317.0,483.0,3.0,5.72,41.39,981.0,457.0,129.0,395.0,11.62,4.68
1065.0,,,,8,56, Vallbona,,,,,1.0,1353.0,39.9,1.0,1090.0,95.0,417.0,347.0,146.0,84.0,1.0,7.71,38.26,114.0,53.0,15.0,46.0,10.459999999999999,4.22
8312.0,3647.0,1785.0,2879.0,9,57, la Trinitat Vella,43.88,21.47,34.64,32.86082474226804,2.0,10268.0,45.9,1.0,8423.0,490.0,3237.0,2515.0,1449.0,732.0,0.0,8.690000000000001,38.43,909.0,423.0,120.0,366.0,10.79,4.35
2022.0,1567.0,341.0,,9,58, Baró de Viver,77.5,16.86,,17.872117400419288,1.0,2508.0,60.5,1.0,2031.0,154.0,785.0,697.0,279.0,115.0,1.0,5.66,38.65,132.0,58.0,17.0,57.0,6.5,2.81
10895.0,7671.0,1809.0,1415.0,9,59, el Bon Pastor,70.41,16.6,12.99,19.082278481012658,3.0,12758.0,59.6,1.0,10284.0,604.0,3336.0,3032.0,2075.0,1234.0,3.0,12.0,32.440000000000005,749.0,328.0,99.0,322.0,7.28,3.1300000000000003
58400.0,39951.0,12992.0,5457.0,9,60, Sant Andreu,68.41,22.25,9.34,24.5395991915834,5.0,56496.0,76.6,2.0,48597.0,2107.0,10385.0,11772.0,13388.0,10933.0,12.0,22.5,21.37,3030.0,1329.0,397.0,1304.0,6.23,2.68
28963.0,17362.0,7015.0,4587.0,9,61, la Sagrera,59.95,24.22,15.84,28.77712597940682,4.0,28914.0,74.9,1.0,25328.0,1075.0,5652.0,6292.0,6873.0,5431.0,5.0,21.44,22.32,1390.0,595.0,196.0,599.0,5.489999999999999,2.36
13166.0,8389.0,2444.0,2333.0,9,62, el Congrés i els Indians,63.72,18.56,17.72,22.56069417520539,3.0,14076.0,72.7,1.0,12236.0,673.0,2551.0,2908.0,3315.0,2787.0,2.0,22.78,20.849999999999998,677.0,290.0,96.0,291.0,5.53,2.3800000000000003
24514.0,15774.0,5087.0,3653.0,9,63, Navas,64.35,20.75,14.9,24.385216432577536,4.0,21949.0,83.3,2.0,19323.0,812.0,4032.0,4580.0,5398.0,4496.0,5.0,23.27,20.87,1046.0,450.0,149.0,447.0,5.41,2.31
38617.0,24731.0,7049.0,6837.0,10,64, el Camp de l'Arpa del Clot,64.04,18.25,17.7,22.180616740088105,5.0,38130.0,80.9,2.0,33741.0,1323.0,6577.0,7519.0,9102.0,9213.0,7.0,27.310000000000002,19.49,2021.0,945.0,291.0,785.0,5.99,2.33
28572.0,18454.0,6056.0,4062.0,10,65, el Clot,64.59,21.2,14.22,24.70828233374133,4.0,27082.0,81.0,2.0,23355.0,1001.0,4836.0,5541.0,6278.0,5692.0,7.0,24.37,20.71,1376.0,617.0,193.0,566.0,5.89,2.42
14150.0,8535.0,3361.0,2253.0,10,66, el Parc i la Llacuna del Poblenou,60.32,23.75,15.92,28.253194351042367,3.0,14814.0,88.6,2.0,12883.0,441.0,2379.0,2598.0,3308.0,4152.0,5.0,32.23,18.47,671.0,295.0,95.0,281.0,5.21,2.18
9434.0,6082.0,1842.0,1510.0,10,67, la Vila Olímpica del Poblenou,64.47,19.53,16.01,23.245835436648157,2.0,9391.0,150.8,4.0,7595.0,227.0,581.0,964.0,1813.0,4010.0,0.0,52.800000000000004,7.6499999999999995,451.0,208.0,66.0,177.0,5.94,2.33
33240.0,22592.0,4733.0,5915.0,10,68, el Poblenou,67.97,14.24,17.79,17.32113449222324,5.0,33425.0,95.4,2.0,27862.0,1191.0,5370.0,5788.0,6948.0,8555.0,10.0,30.7,19.27,1549.0,712.0,225.0,612.0,5.56,2.1999999999999997
12853.0,8241.0,2273.0,2339.0,10,69, Diagonal Mar i el Front Marítim del Poblenou,64.12,17.68,18.2,21.61879398896709,3.0,13351.0,168.8,4.0,10611.0,412.0,1578.0,1840.0,2544.0,4237.0,0.0,39.93,14.87,705.0,331.0,89.0,285.0,6.64,2.69
19960.0,10078.0,4551.0,5331.0,10,70, el Besòs i el Maresme,50.49,22.8,26.71,31.109440153120516,3.0,23191.0,58.9,1.0,19555.0,1494.0,7026.0,5676.0,3474.0,1880.0,5.0,9.610000000000001,35.93,1612.0,752.0,204.0,656.0,8.24,3.35
20172.0,13278.0,4012.0,2881.0,10,71, Provençals del Poblenou,65.82,19.89,14.28,23.20416425679584,4.0,20184.0,91.7,2.0,17252.0,820.0,3929.0,4320.0,4431.0,3749.0,3.0,21.73,22.770000000000003,1085.0,469.0,144.0,472.0,6.29,2.74
25793.0,16337.0,6510.0,2945.0,10,72, Sant Martí de Provençals,63.34,25.24,11.42,28.493894165535956,4.0,26018.0,67.6,1.0,22627.0,1380.0,5958.0,5806.0,5618.0,3851.0,14.0,17.02,26.33,1510.0,630.0,198.0,682.0,6.67,3.01
28401.0,16542.0,8892.0,2967.0,10,73, la Verneda i la Pau,58.24,31.31,10.45,34.961075725406936,4.0,28903.0,57.2,1.0,24967.0,1794.0,7521.0,7122.0,5599.0,2923.0,8.0,11.709999999999999,30.12,1709.0,712.0,223.0,774.0,6.8500000000000005,3.1
